Age,Gender,Academic_Level,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score
19,Female,Undergraduate,5.2,Instagram,Yes,6.5,6,In Relationship,3,8
22,Male,Graduate,2.1,Twitter,No,7.5,8,Single,0,3
20,Female,Undergraduate,6.0,TikTok,Yes,5.0,5,Complicated,4,9
18,Male,High School,3.0,YouTube,No,7.0,7,Single,1,4
21,Male,Graduate,4.5,Facebook,Yes,6.0,6,In Relationship,2,7
19,Female,Undergraduate,7.2,Instagram,Yes,4.5,4,Complicated,5,9
23,Male,Graduate,1.5,LinkedIn,No,8.0,9,Single,0,2
20,Female,Undergraduate,5.8,Snapchat,Yes,6.0,6,In Relationship,2,8
18,Male,High School,4.0,TikTok,No,6.5,7,Single,1,5
21,Female,Graduate,3.3,Instagram,No,7.0,7,In Relationship,1,4
19,Male,Undergraduate,4.8,Snapchat,Yes,6.2,5,Complicated,3,7
20,Female,Undergraduate,5.5,TikTok,Yes,5.8,6,In Relationship,2,8
22,Male,Graduate,2.8,LinkedIn,No,7.2,8,Single,1,4
18,Female,High School,6.5,Instagram,Yes,5.5,5,Single,4,9
21,Male,Undergraduate,3.7,YouTube,No,6.8,7,In Relationship,2,5
20,Female,Undergraduate,4.2,TikTok,Yes,6.0,6,Complicated,3,7
24,Male,Graduate,2.0,LinkedIn,No,7.8,8,Single,0,3
19,Female,High School,5.0,Instagram,Yes,5.7,5,In Relationship,3,8
21,Male,Undergraduate,3.5,Facebook,No,6.7,7,Single,1,5
20,Female,Undergraduate,4.7,Snapchat,Yes,5.9,6,Complicated,3,7
18,Male,High School,5.3,TikTok,Yes,5.5,5,Single,4,8
23,Female,Graduate,2.5,LinkedIn,No,7.3,8,In Relationship,1,4
19,Male,Undergraduate,4.9,Instagram,Yes,5.8,6,Complicated,3,7
20,Female,Undergraduate,5.7,TikTok,Yes,5.4,5,Single,4,8
22,Male,Graduate,3.2,Facebook,No,6.9,7,In Relationship,2,5
19,Female,High School,6.1,Instagram,Yes,5.2,5,Complicated,4,9
21,Male,Undergraduate,3.8,YouTube,No,6.6,7,Single,1,5
20,Female,Undergraduate,4.4,TikTok,Yes,5.9,6,In Relationship,3,7
24,Male,Graduate,2.2,LinkedIn,No,7.4,8,Single,0,3
19,Female,High School,5.9,Instagram,Yes,5.3,5,Complicated,4,8
21,Male,Undergraduate,3.6,Facebook,No,6.7,7,Single,1,5
20,Female,Undergraduate,4.8,Snapchat,Yes,5.7,6,In Relationship,3,7
18,Male,High School,5.4,TikTok,Yes,5.4,5,Complicated,4,8
23,Female,Graduate,2.6,LinkedIn,No,7.2,8,Single,1,4
19,Male,Undergraduate,4.7,Instagram,Yes,5.8,6,In Relationship,3,7
20,Female,Undergraduate,5.6,TikTok,Yes,5.5,5,Complicated,4,8
22,Male,Graduate,3.1,Facebook,No,6.8,7,Single,1,5
19,Female,High School,6.2,Instagram,Yes,5.1,5,In Relationship,4,9
21,Male,Undergraduate,3.9,YouTube,No,6.5,7,Complicated,2,6
20,Female,Undergraduate,4.5,TikTok,Yes,5.8,6,Single,3,7
24,Male,Graduate,2.3,LinkedIn,No,7.3,8,In Relationship,1,4
19,Female,High School,5.8,Instagram,Yes,5.4,5,Complicated,4,8
21,Male,Undergraduate,3.7,Facebook,No,6.6,7,Single,2,5
20,Female,Undergraduate,4.6,Snapchat,Yes,5.7,6,In Relationship,3,7
18,Male,High School,5.5,TikTok,Yes,5.3,5,Single,4,8
23,Female,Graduate,2.7,LinkedIn,No,7.1,8,Complicated,1,4
19,Male,Undergraduate,4.8,Instagram,Yes,5.9,6,In Relationship,3,7
20,Female,Undergraduate,5.5,TikTok,Yes,5.6,5,Single,4,8
22,Male,Graduate,3.3,Facebook,No,6.7,7,In Relationship,2,5
19,Female,High School,6.3,Instagram,Yes,5.2,5,Complicated,4,9
21,Male,Undergraduate,3.8,YouTube,No,6.4,7,Single,2,6
20,Female,Undergraduate,4.7,TikTok,Yes,5.8,6,In Relationship,3,7
